time(ms),ax,ay,az,gx,gy,gz
0,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
20,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
40,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
60,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
80,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
100,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
120,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
140,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
160,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
180,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
200,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
220,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
240,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
280,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
300,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
320,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
340,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
360,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
380,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
400,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
420,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
440,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
460,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
480,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
500,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
520,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
540,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
560,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
580,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
600,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
620,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
640,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
660,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
680,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
700,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
720,0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
740,-0.745581 -0.001293 -8.528068 -0.028362 -0.056178 -0.029452
760,-0.845997 -0.039348 -8.499322 -0.019090 -0.055087 -0.028362
780,-0.840955 -0.015140 -8.483734 -0.023453 -0.053451 -0.029452
800,-0.853380 -0.040086 -8.530229 -0.032180 -0.061632 -0.014726
820,-0.865397 -0.028358 -8.503417 -0.023998 -0.058905 -0.015817
840,-0.851514 -0.039899 -8.517113 -0.029998 -0.053996 -0.032180
860,-0.824268 -0.004852 -8.503613 -0.031089 -0.056178 -0.039270
880,-0.832318 -0.018586 -8.521657 -0.023453 -0.054542 -0.018544
900,-0.846052 -0.054437 -8.497172 -0.024544 -0.058359 -0.028362
920,-0.840961 0.027957 -8.518212 -0.045815 -0.061087 -0.040361
940,-0.870619 -0.048274 -8.497475 -0.037088 -0.058905 -0.022907
960,-0.858501 -0.016895 -8.496263 -0.026725 -0.056178 -0.027816
980,-0.844360 0.003913 -8.548720 -0.035997 -0.057269 -0.043088
1000,-0.840791 -0.017279 -8.524659 -0.023453 -0.057269 -0.029998
1020,-0.859828 0.000212 -8.500705 -0.027816 -0.061087 -0.019635
1040,-0.855267 -0.010107 -8.523952 -0.026180 -0.056723 -0.025635
1060,-0.861276 -0.034411 -8.500850 -0.027816 -0.056723 -0.028362
1080,-0.840328 0.066807 -8.554781 -0.039815 -0.057269 -0.046360
1100,-0.842543 0.004095 -8.514060 -0.022362 -0.054542 -0.018544
1120,-0.872932 -0.042041 -8.512790 -0.024544 -0.056178 -0.015817
1140,-0.869507 0.042341 -8.538305 -0.037088 -0.057269 -0.034361
1160,-0.882093 -0.019254 -8.522326 -0.024544 -0.055632 -0.021817
1180,-0.872578 0.020485 -8.527839 -0.030543 -0.059996 -0.029452
1200,-0.878091 0.015624 -8.515460 -0.026180 -0.057814 -0.030543
1220,-0.919584 0.054572 -8.517455 -0.040361 -0.061632 -0.031089
1240,-0.844004 0.016878 -8.505588 -0.025089 -0.055632 -0.030543
1260,-0.860149 0.064825 -8.554608 -0.041452 -0.063814 -0.033270
1280,-0.848835 0.014240 -8.503916 -0.025089 -0.061087 -0.029998
1300,-0.877871 0.035040 -8.521903 -0.024544 -0.058359 -0.023998
1320,-0.865691 0.031948 -8.524995 -0.033270 -0.055632 -0.033816
1340,-0.862318 0.043060 -8.541896 -0.029452 -0.055632 -0.021817
1360,-0.872755 0.050635 -8.521392 -0.015817 -0.057269 -0.012545
1380,-0.845786 0.040403 -8.529469 -0.022362 -0.059450 -0.017453
1400,-0.862482 0.025804 -8.531138 -0.021271 -0.059996 -0.022362
1420,-0.872772 0.042014 -8.523548 -0.027271 -0.055632 -0.030543
1440,-0.875955 0.046006 -8.526021 -0.032725 -0.058905 -0.032180
1460,-0.852570 0.069893 -8.521528 -0.023998 -0.057269 -0.020726
1480,-0.871780 0.037804 -8.527759 -0.022362 -0.056178 -0.013090
1500,-0.875856 0.035241 -8.493689 -0.022907 -0.055632 -0.023453
1520,-0.878419 0.039295 -8.517648 -0.031634 -0.058359 -0.026725
1540,-0.854971 0.076117 -8.517458 -0.022362 -0.054542 -0.030543
1560,-0.882795 0.032393 -8.528860 -0.024544 -0.057814 -0.015272
1580,-0.896351 0.035347 -8.543145 -0.031634 -0.050178 -0.007636
1600,-0.884778 0.055898 -8.503200 -0.028362 -0.056723 -0.009272
1620,-0.868537 0.104929 -8.548983 -0.032725 -0.055087 -0.028362
1640,-0.873377 0.072122 -8.510679 -0.019090 -0.050724 -0.018544
1660,-0.878171 0.069488 -8.504694 -0.020180 -0.057269 -0.008181
1680,-0.919592 -0.031623 -8.480824 -0.016908 -0.052360 -0.010908
1700,-0.863399 0.109752 -8.542005 -0.028362 -0.056723 -0.033270
1720,-0.859934 0.148886 -8.541657 -0.032180 -0.057814 -0.034361
1740,-0.881136 0.067036 -8.526539 -0.011999 -0.050724 -0.011454
1760,-0.889721 0.059713 -8.512314 -0.029452 -0.055632 -0.028907
1780,-0.879805 0.086563 -8.535026 -0.019635 -0.058359 -0.011999
1800,-0.876659 0.084723 -8.515317 -0.009817 -0.051814 -0.008181
1820,-0.867725 0.113629 -8.538127 -0.025635 -0.051814 -0.019635
1840,-0.886225 0.083766 -8.518429 -0.027271 -0.055632 -0.019635
1860,-0.881610 0.079918 -8.507193 -0.021271 -0.051269 -0.013635
1880,-0.883304 0.088368 -8.518137 -0.025635 -0.055632 -0.014726
1900,-0.879163 0.108176 -8.524187 -0.021271 -0.051269 -0.013090
1920,-0.883059 0.099167 -8.500874 -0.017999 -0.054542 -0.011454
1940,-0.876984 0.086845 -8.521814 -0.022362 -0.056178 -0.006000
1960,-0.878531 0.103929 -8.519814 -0.015272 -0.053996 -0.004909
1980,-0.891615 0.094001 -8.525433 -0.017453 -0.055632 -0.002182
2000,-0.882149 0.079864 -8.500782 -0.014726 -0.053996 -0.006545
2020,-0.993255 0.159257 -8.492499 -0.027816 -0.057814 -0.014726
2040,-0.763022 0.076693 -8.538431 -0.043633 -0.062177 -0.058359
2060,-0.918852 0.119291 -8.497988 -0.026180 -0.056178 -0.016362
2080,-0.751272 0.084332 -8.507089 -0.041452 -0.061087 -0.033816
2100,-0.857341 0.118977 -8.530624 -0.029452 -0.056723 -0.011454
2120,-0.885187 0.124812 -8.507550 -0.012545 -0.051814 -0.003818
2140,-0.903055 0.127335 -8.545970 -0.014181 -0.051269 -0.005454
2160,-0.902687 0.129527 -8.528694 -0.020180 -0.052360 -0.007090
2180,-0.900495 0.136211 -8.519855 -0.015817 -0.053996 -0.012545
2200,-0.889502 0.130845 -8.527376 -0.017453 -0.052360 -0.014726
2220,-0.890558 0.135050 -8.523171 -0.018544 -0.051814 -0.016908
2240,-0.875579 0.121463 -8.558307 -0.034361 -0.056723 -0.030543
2260,-0.891320 0.128509 -8.508163 -0.019090 -0.055087 -0.013635
